index,Num,prod,insp,date,buydate,ingr_A,ingr_B,ingr_C,wtcd,gram,label
192,20230526창하096483A,JJBB,Y,2023-05-26,2023-06-15,131.5261,5.6421,6.013,F3,1793.75,0
193,20230608오포087948A,JJBB,Y,2023-06-08,2023-08-12,394.8453,6.3182,6.68,F2,2050.3,0
197,20230507수성041377C,GBMD,L,2023-05-07,2023-05-08,130.7321,5.9211,6.1918,F1,804.43,0
203,20230508오포012531A,KCMD,K,2023-05-08,2023-06-28,127.7617,5.8432,5.7513,F3,495.98,0
206,20230605오포062865A,KCMD,C,2023-06-05,2023-07-08,395.9591,6.3319,6.6649,F2,764.78,1
207,20230419창하087861A,GGMD,Y,2023-04-19,2023-05-23,327.6694,5.966,5.6369,F3,2702.59,0
211,20230601창하068691A,JJBB,C,2023-06-01,2023-08-23,396.1635,6.4497,6.8327,F3,2059.49,1
215,20230425창하062173B,KCMD,C,2023-04-25,2023-05-01,325.8817,6.5291,6.1317,F3,685.52,1
220,20230428산천078655A,GBMD,C,2023-04-28,2023-09-06,321.8036,5.6769,5.8723,F2,886.08,1
228,20230524산천057485A,JJBB,L,2023-05-24,2023-07-14,130.6164,5.9353,6.3157,F3,1839.11,0
229,20230518창하086816A,GBMD,Y,2023-05-18,2023-08-20,131.5628,6.3455,5.8576,F3,725.01,0
235,20230507수성037662C,KCMD,L,2023-05-07,2023-08-03,129.2213,7.119,6.6176,F3,521.12,0
238,20230508창하063666A,KCMD,C,2023-05-08,2023-05-12,131.544,6.9457,5.9846,F2,532.34,0
240,20230611창하063228A,JJBB,C,2023-06-11,2023-06-23,401.2266,6.2199,6.9247,F3,2062.36,1
244,20230629창하032870B,GBMD,L,2023-06-29,2023-07-12,398.3114,6.1343,6.4944,F2,998.48,1
249,20230629산천065552A,GBMD,C,2023-06-29,2023-07-26,398.6167,6.3156,6.5376,F2,971.73,0
256,20230402수성034449C,KCMD,L,2023-04-02,2023-05-02,311.8874,5.6644,6.0358,F3,698.12,0
258,20230507오포082124A,JJBB,C,2023-05-07,2023-05-08,131.5457,6.9106,5.6024,F2,1781.36,0
276,20230622오포064344A,KCMD,C,2023-06-22,2023-07-10,397.6776,6.1337,6.838,F3,761.48,1
281,20230604수성021388C,KCMD,K,2023-06-04,2023-06-13,398.8718,6.2918,6.6318,F3,780.95,0
282,20230515수성040903C,JJBB,L,2023-05-15,2023-07-09,130.6535,6.3093,6.0408,F1,1782.05,0
287,20230509산천000754A,GBMD,K,2023-05-09,2023-06-03,129.4209,5.6943,6.5856,F3,709.6,0
294,20230615산천008251A,GBMD,K,2023-06-15,2023-10-25,396.5896,6.4244,6.8448,F3,968.87,0
301,20230410산천086598A,KCMD,Y,2023-04-10,2023-05-23,327.9235,7.4978,5.6801,F2,703.04,0
302,20230413창하016709A,GBMD,K,2023-04-13,2023-05-08,313.7658,7.0017,6.3182,F2,905.16,1
307,20230428산천045563A,KCMD,L,2023-04-28,2023-05-27,332.1934,6.9975,5.6554,F2,705.9,0
320,20230425창하085985B,KCMD,Y,2023-04-25,2023-04-29,316.8979,7.1063,6.0999,F2,675.92,0
328,20230503산천013509A,KCMD,K,2023-05-03,2023-05-16,128.028,5.8391,6.3943,F3,505.65,0
331,20230406산천027322A,KCMD,P,2023-04-06,2023-04-29,323.1562,5.8248,6.4346,F3,701.6,1
336,20230407수성047416C,KCMD,L,2023-04-07,2023-06-09,328.123,5.8748,5.2573,F3,718.81,0
338,20230609산천092034A,JJBB,Y,2023-06-09,2023-06-16,399.3519,6.4394,7.0274,F2,2100.17,1
340,20230426수성002937C,GBMD,K,2023-04-26,2023-05-17,321.8887,6.806,5.8125,F2,1003.1,0
350,20230509오포002740A,JJBB,K,2023-05-09,2023-07-12,128.873,7.1655,6.2394,F3,1783.88,0
352,20230415수성059772C,JJBB,L,2023-04-15,2023-05-03,326.8479,6.4045,5.519,F1,1987.03,1
358,20230509수성071696C,KCMD,C,2023-05-09,2023-06-01,131.5464,5.73,5.6957,F3,516.65,0
363,20230620산천045465A,JJBB,L,2023-06-20,2023-06-24,400.8384,7.4542,5.8911,F2,2105.27,1
364,20230508오포020343A,KCMD,K,2023-05-08,2023-11-02,128.2172,5.9505,5.7997,F3,494.72,0
365,20230425오포090023A,KCMD,Y,2023-04-25,2023-09-21,314.6905,5.8158,5.8495,F2,669.63,0
368,20230417수성099335C,JJBB,Y,2023-04-17,2023-06-29,325.8677,6.8933,6.2088,F3,1978.74,0
370,20230515수성083937C,KCMD,C,2023-05-15,2023-07-08,131.5986,5.7038,6.2253,F2,523.55,0
372,20230615산천046874A,KCMD,L,2023-06-15,2023-06-21,393.5515,6.4533,6.7782,F1,766.73,0
375,20230429창하031218A,JJBB,L,2023-04-29,2023-06-09,323.8601,6.751,6.0865,F3,1985.55,0
384,20230515산천056724A,JJBB,L,2023-05-15,2023-06-08,130.2838,6.0285,5.8505,F1,1832.3,1
389,20230603오포010184A,KCMD,K,2023-06-03,2023-06-08,399.1716,6.2743,6.7708,F3,772.29,0
390,20230612수성062224C,KCMD,C,2023-06-12,2023-08-30,401.4142,6.2288,6.8276,F2,788.58,0
400,20230628오포060222A,GBMD,C,2023-06-28,2023-07-31,397.2649,6.252,6.9592,F3,974.98,0
402,20230608창하044131B,GBMD,L,2023-06-08,2023-06-15,396.9348,6.3864,6.6952,F3,986.41,0
404,20230611수성093680C,GBMD,Y,2023-06-11,2023-06-15,392.5913,6.1576,6.903,F3,1060.77,1
406,20230502창하032047A,KCMD,L,2023-05-02,2023-07-27,128.8392,7.1318,6.3959,F2,521.76,1
412,20230618산천004702A,JJBB,K,2023-06-18,2023-09-12,396.1125,6.1049,6.9019,F3,2096.38,0
417,20230615산천029359A,GBMD,P,2023-06-15,2023-10-12,397.2788,6.42,6.8542,F2,965.5,0
446,20230506산천084511A,KCMD,C,2023-05-06,2023-05-22,131.493,5.8166,6.2842,F2,503.62,0
453,20230429오포080659A,KCMD,C,2023-04-29,2023-06-28,324.5928,6.5209,6.1226,F3,689.09,0
463,20230401수성060342C,KCMD,C,2023-04-01,2023-04-23,322.1919,6.9575,5.9427,F1,714.54,0
481,20230508창하040341A,KCMD,L,2023-05-08,2023-06-01,130.8387,5.8372,6.3491,F1,529.85,0
486,20230511수성030513C,KCMD,L,2023-05-11,2023-05-18,128.8676,6.1411,6.1482,F3,521.95,0
488,20230608창하097935A,KCMD,Y,2023-06-08,2023-07-19,406.2259,6.4943,6.8905,F3,803.06,1
489,20230629오포001196A,KCMD,K,2023-06-29,2023-08-29,387.509,6.3914,6.7346,F3,754.04,0
490,20230523창하041570A,JJBB,L,2023-05-23,2023-07-14,130.7667,7.3763,5.4807,F1,1791.16,1
492,20230607산천072460A,GBMD,C,2023-06-07,2023-08-17,411.7077,6.3354,6.9934,F3,983.81,1
495,20230514오포010433A,KCMD,K,2023-05-14,2023-06-09,128.7464,5.9088,6.6403,F3,493.56,0
504,20230411수성053062C,JJBB,L,2023-04-11,2023-07-29,326.3906,5.8947,5.7688,F1,1986.13,0
507,20230412오포091129A,JJBB,Y,2023-04-12,2023-05-29,330.2868,6.9088,6.2995,F2,1996.06,0
515,20230607오포063649A,KCMD,C,2023-06-07,2023-08-04,398.68,6.4077,6.7767,F2,766.9,0
519,20230520수성010800C,JJBB,K,2023-05-20,2023-05-28,128.2794,6.3637,6.6944,F3,1774.17,0
524,20230519오포093707A,KCMD,Y,2023-05-19,2023-08-07,131.5498,5.8976,5.7624,F3,492.19,0
525,20230529오포063857A,KCMD,C,2023-05-29,2023-06-14,131.5898,5.9077,5.9447,F2,498.15,0
526,20230524수성000784C,GBMD,K,2023-05-24,2023-06-01,128.9631,6.1054,6.0675,F3,794.47,0
534,20230628산천000704A,KCMD,K,2023-06-28,2023-08-08,389.546,6.5033,6.7155,F3,771.48,0
541,20230411수성054507C,KCMD,L,2023-04-11,2023-04-30,323.999,5.8057,5.898,F3,710.94,0
545,20230528창하075403A,GBMD,C,2023-05-28,2023-08-18,131.5594,6.3553,6.2169,F3,726.96,0
555,20230412산천062789A,KCMD,C,2023-04-12,2023-04-17,315.2174,7.4391,5.9991,F2,695.27,0
557,20230608오포056118A,JJBB,L,2023-06-08,2023-09-09,396.0844,6.3094,6.9442,F1,2055.17,0
560,20230506산천046187A,KCMD,L,2023-05-06,2023-05-11,130.4545,7.1283,6.016,F3,508.23,0
569,20230406창하007564A,JJBB,K,2023-04-06,2023-04-22,322.8607,6.2791,6.4612,F3,1984.13,0
570,20230622산천092599A,JJBB,Y,2023-06-22,2023-08-01,402.8232,6.3155,6.7354,F2,2104.42,1
587,20230401수성001500C,JJBB,K,2023-04-01,2023-05-16,319.4609,7.5318,5.9687,F3,1980.97,0
589,20230607오포084674A,JJBB,C,2023-06-07,2023-07-19,398.4299,6.218,6.782,F2,2055.72,1
595,20230506오포035360A,JJBB,L,2023-05-06,2023-06-17,127.4573,5.5445,6.4653,F3,1783.88,0
597,20230629창하026107A,GBMD,P,2023-06-29,2023-07-08,394.2904,6.5384,6.6106,F3,983.17,0
614,20230506수성098001C,GBMD,Y,2023-05-06,2023-05-18,131.5861,5.4592,6.4474,F3,801.5,1
615,20230421산천051183A,GBMD,L,2023-04-21,2023-05-26,324.3722,5.5594,6.2502,F3,893.62,0
619,20230517오포053242A,KCMD,L,2023-05-17,2023-07-02,130.7358,5.8881,5.3433,F3,494.6,0
627,20230604오포037013A,GBMD,L,2023-06-04,2023-06-12,395.2743,6.1322,6.6588,F3,973.18,0
645,20230511산천066525A,KCMD,C,2023-05-11,2023-07-27,131.5033,8.1214,6.3345,F3,518.13,0
652,20230619오포005382A,GBMD,K,2023-06-19,2023-07-27,397.7643,6.276,6.7269,F3,975.87,1
654,20230426산천035695A,KCMD,L,2023-04-26,2023-08-29,320.5597,6.1421,6.2047,F3,700.04,0
661,20230622창하097453B,KCMD,Y,2023-06-22,2023-06-23,400.983,6.1299,6.763,F3,759.86,1
663,20230420창하000015A,KCMD,K,2023-04-20,2023-07-28,315.6961,6.3219,6.0729,F3,710.6,1
665,20230408산천097150A,KCMD,Y,2023-04-08,2023-06-15,315.4577,7.1978,6.2418,F3,699.97,0
667,20230620산천020541A,GBMD,K,2023-06-20,2023-08-09,387.8267,6.5897,6.9449,F3,968.32,0
669,20230523오포045830A,GBMD,L,2023-05-23,2023-06-07,131.1993,6.5868,6.0775,F3,713.08,0
670,20230619오포008902A,KCMD,K,2023-06-19,2023-06-21,404.2438,6.1965,7.0102,F3,767.0,0
671,20230423산천001734A,JJBB,K,2023-04-23,2023-06-26,321.4948,5.6749,5.6923,F3,2021.35,0
678,20230519오포082698A,KCMD,C,2023-05-19,2023-06-24,131.5203,5.6946,6.0476,F3,499.1,0
680,20230618창하061180B,KCMD,C,2023-06-18,2023-08-01,396.9125,6.5026,6.8617,F3,743.99,0
691,20230411산천067781A,KCMD,C,2023-04-11,2023-07-09,323.608,6.2426,6.6127,F3,701.88,0
692,20230419산천057200A,JJBB,L,2023-04-19,2023-05-24,321.1644,5.9749,6.2507,F3,2027.46,0
698,20230427수성008636C,JJBB,K,2023-04-27,2023-06-14,315.7195,5.5599,6.1528,F2,1972.33,1
699,20230414수성056149C,GBMD,L,2023-04-14,2023-05-16,338.1992,6.1937,5.6214,F1,1005.88,0
706,20230418산천035333A,KCMD,L,2023-04-18,2023-06-02,328.8631,7.6291,5.9251,F3,707.9,0
717,20230413창하069347B,KCMD,C,2023-04-13,2023-04-26,319.7212,5.824,5.9662,F3,679.13,0
719,20230429수성006476C,KCMD,K,2023-04-29,2023-09-10,330.6935,7.3199,6.2144,F3,719.81,0
726,20230514산천091118A,KCMD,Y,2023-05-14,2023-09-21,131.5425,6.4688,6.5681,F3,516.55,0
727,20230402수성031302C,KCMD,L,2023-04-02,2023-04-08,322.828,7.0591,5.6356,F3,713.03,0
728,20230407수성023991C,GBMD,K,2023-04-07,2023-04-30,317.2002,6.3533,5.858,F3,983.43,1
731,20230603오포014623A,KCMD,K,2023-06-03,2023-07-08,399.6851,6.3011,6.9395,F3,758.79,1
737,20230424오포028511A,KCMD,P,2023-04-24,2023-09-25,314.1878,7.5692,6.1485,F3,679.78,0
739,20230425산천042879A,KCMD,L,2023-04-25,2023-05-08,314.5711,5.7966,5.8941,F1,692.31,0
755,20230410창하050202B,JJBB,L,2023-04-10,2023-04-13,313.5723,6.3093,5.6487,F1,2029.16,0
760,20230508오포022825A,KCMD,K,2023-05-08,2023-05-12,128.339,6.8925,6.2336,,491.08,0
767,20230420창하082561B,KCMD,C,2023-04-20,2023-05-05,328.1608,5.754,6.2663,F2,683.21,0
769,20230425수성041948C,JJBB,L,2023-04-25,2023-05-14,320.3816,6.7253,6.3761,F3,1975.29,0
778,20230401오포066546A,GGMD,C,2023-04-01,2023-04-02,328.1191,6.2377,5.5175,F2,2750.07,0
781,20230429오포043327A,KCMD,L,2023-04-29,2023-08-23,324.9225,6.177,5.9932,F3,692.77,0
784,20230409수성019295C,GGMD,K,2023-04-09,2024-04-09,318.7145,6.2675,6.501,F3,2617.61,1
785,20230523수성002005B,KCMD,K,2023-05-23,2023-06-06,128.9405,5.7416,6.1298,F3,454.53,0
786,20230420수성049638C,KCMD,L,2023-04-20,2023-05-21,325.3922,6.0918,6.6487,F3,716.55,0
787,20230406오포093561A,JJBB,Y,2023-04-06,2023-05-16,320.3676,5.8345,5.8522,F2,1972.59,0
788,20230511오포083641A,KCMD,C,2023-05-11,2023-06-06,131.5379,6.1576,6.5527,F3,489.93,0
798,20230401수성078294C,GBMD,C,2023-04-01,2023-04-22,329.9286,6.3366,6.5287,F3,1006.12,0
801,20230505창하093249B,GBMD,Y,2023-05-05,2023-06-01,131.5474,6.0526,5.7988,F3,727.09,0
806,20230610창하067096A,KCMD,C,2023-06-10,2023-07-30,396.5057,6.2148,6.4331,F1,793.27,0
808,20230426수성099830C,KCMD,Y,2023-04-26,2023-05-15,323.2585,5.876,5.9664,F3,710.32,0
814,20230620창하090878B,KCMD,Y,2023-06-20,2023-09-19,400.26,6.3912,6.9343,F3,748.33,0
818,20230406창하061313A,KCMD,C,2023-04-06,2023-04-25,325.7225,5.7559,6.1393,F3,715.65,0
822,20230425오포010145A,JJBB,K,2023-04-25,2023-07-03,321.9213,7.3402,6.2041,F3,1971.7,1
834,20230512산천037688A,GBMD,L,2023-05-12,2023-08-15,127.577,5.7262,5.7313,F2,701.66,1
835,20230518수성083741C,KCMD,C,2023-05-18,2023-06-06,131.5274,6.5433,6.5165,F3,524.57,0
845,20230623산천012381A,KCMD,K,2023-06-23,2023-08-17,395.9895,6.2265,6.7733,F3,774.24,0
846,20230517산천045527A,KCMD,L,2023-05-17,2023-07-01,130.6453,6.5774,5.4817,F1,518.14,0
851,20230613산천095147A,KCMD,Y,2023-06-13,2023-07-25,400.7004,6.3351,6.8925,F3,783.47,0
854,20230511창하069290B,GGMD,C,2023-05-11,2023-07-20,131.5698,7.4247,6.6671,F3,2491.94,0
858,20230411오포080410A,KCMD,C,2023-04-11,2023-09-06,323.7074,5.9587,6.4184,F3,695.95,0
859,20230602산천044885A,JJBB,L,2023-06-02,2023-07-22,404.6814,6.3744,6.8838,F3,2111.09,0
860,20230421창하072010B,GBMD,C,2023-04-21,2023-05-25,317.6803,7.4436,5.9405,F1,912.17,0
864,20230619산천051488A,KCMD,L,2023-06-19,2023-08-09,394.3135,6.259,6.9014,F1,772.52,0
865,20230625산천053965A,KCMD,L,2023-06-25,2023-08-03,400.6396,6.1263,7.0317,F3,785.11,0
869,20230427창하014101B,KCMD,K,2023-04-27,2023-05-24,319.3446,7.0477,5.9895,F3,669.63,1
870,20230529창하043856B,KCMD,L,2023-05-29,2023-07-11,130.9283,5.8926,6.2441,F1,482.05,0
876,20230514수성016989C,KCMD,K,2023-05-14,2023-05-23,128.0408,6.1358,6.4998,F3,515.42,0
877,20230625창하094783B,GGMD,Y,2023-06-25,2023-07-27,394.6304,6.2306,6.7636,F3,2758.29,1
882,20230423수성012897C,GBMD,K,2023-04-23,2023-07-22,322.9404,5.8355,5.869,F3,993.79,0
887,20230410창하096786B,KCMD,Y,2023-04-10,2023-05-28,326.3023,6.3248,6.5123,F2,680.75,0
889,20230528창하016511A,GBMD,K,2023-05-28,2023-06-14,127.3666,7.0252,6.823,F3,724.76,0
893,20230518창하067096A,KCMD,C,2023-05-18,2023-06-07,131.549,5.8967,5.8817,F2,534.0,0
899,20230520창하046641A,KCMD,L,2023-05-20,2023-05-23,130.4468,6.8971,6.2227,F3,524.12,0
901,20230609창하050699B,KCMD,L,2023-06-09,2023-09-01,405.7146,6.2335,6.6728,F1,769.16,0
909,20230614창하078107A,KCMD,C,2023-06-14,2023-07-28,398.0509,6.274,6.6164,F3,792.87,1
917,20230625산천007982A,JJBB,K,2023-06-25,2023-07-10,399.5588,6.2635,6.855,F3,2104.71,0
922,20230425오포045857A,GBMD,L,2023-04-25,2023-08-17,327.1133,6.3904,6.8326,F3,908.76,0
924,20230523수성007538C,KCMD,K,2023-05-23,2023-07-26,129.0969,6.7124,6.5311,F3,521.24,0
929,20230524산천030848A,JJBB,L,2023-05-24,2023-07-09,128.2871,6.5103,6.2341,F3,1824.97,1
931,20230508수성001675C,GBMD,K,2023-05-08,2024-01-28,128.4729,6.8731,6.3333,F3,796.08,0
935,20230618창하084695A,KCMD,C,2023-06-18,2023-07-09,407.0608,6.3693,6.6005,F2,805.34,0
946,20230618창하055688B,KCMD,L,2023-06-18,2023-08-15,402.5856,6.073,6.983,F3,759.69,0
954,20230425창하089152B,JJBB,Y,2023-04-25,2023-06-12,327.2198,6.8631,5.6591,F2,2035.81,0
956,20230504산천004788A,KCMD,K,2023-05-04,2023-05-27,128.0323,5.9522,6.2415,F3,500.13,1
968,20230625산천077227A,KCMD,C,2023-06-25,2023-07-25,401.4538,6.4027,6.9082,F3,791.03,1
992,20230611창하009987A,KCMD,K,2023-06-11,2023-08-20,394.3977,5.9543,6.721,F3,785.67,0
1001,20230607오포017817A,JJBB,K,2023-06-07,2023-09-18,398.2136,6.0955,6.6914,F3,2045.06,0
1007,20230606산천069368A,KCMD,C,2023-06-06,2023-08-17,395.524,6.2497,6.6611,F3,772.68,0
1013,20230626산천060072A,GBMD,C,2023-06-26,2023-08-14,396.8591,6.3399,6.7612,F3,979.1,0
1014,20230423산천092701A,JJBB,Y,2023-04-23,2023-07-08,324.5883,6.5874,5.9077,F2,2026.69,0
1015,20230516오포054266A,JJBB,L,2023-05-16,2023-08-17,130.6962,5.6883,5.8983,F3,1789.4,0
1016,20230414산천053594A,GGMD,L,2023-04-14,2023-05-19,314.9717,6.8302,6.2675,F3,2684.33,0
1021,20230410오포055532A,JJBB,L,2023-04-10,2023-07-19,323.4747,5.6933,5.8423,F1,1976.34,0
1040,20230515창하007176A,KCMD,K,2023-05-15,2023-08-21,128.6275,5.5525,6.2708,F3,517.3,1
1044,20230507창하011850A,KCMD,K,2023-05-07,2023-07-03,129.2345,7.2714,5.7806,F3,522.15,0
1051,20230527산천013209A,JJBB,K,2023-05-27,2023-05-29,128.1402,6.8193,5.6911,F3,1830.16,0
1058,20230602수성077048C,JJBB,C,2023-06-02,2023-06-19,393.1942,6.2469,6.8727,F3,2052.29,0
1062,20230618수성064604C,JJBB,C,2023-06-18,2023-06-30,397.1414,6.4132,6.8099,F3,2058.21,1
1067,20230603산천066235A,KCMD,C,2023-06-03,2023-11-26,399.8654,6.3802,6.8572,F2,782.11,1
1070,20230410창하096278B,KCMD,Y,2023-04-10,2023-07-02,331.7382,5.971,6.1373,F2,698.25,0
1073,20230528산천030837A,KCMD,L,2023-05-28,2023-11-09,127.5751,5.4879,6.5712,F3,512.49,0
1079,20230416산천095877A,GGMD,Y,2023-04-16,2023-04-21,324.7965,6.1529,6.3068,F3,2692.45,0
1081,20230627산천046647A,KCMD,L,2023-06-27,2023-07-05,395.1715,6.0996,6.7189,F1,776.0,0
1088,20230511창하019990B,GGMD,K,2023-05-11,2023-07-02,128.541,6.6933,5.248,F3,2487.31,0
1089,20230518산천097567A,JJBB,Y,2023-05-18,2023-09-06,131.5529,6.104,6.1991,F3,1841.02,0
1093,20230620창하037263B,GGMD,L,2023-06-20,2023-08-17,393.0963,6.2073,6.6178,F2,2761.61,0
1094,20230524오포094823A,KCMD,Y,2023-05-24,2023-05-28,131.5124,6.1605,5.8462,F2,495.6,1
1098,20230619오포034118A,KCMD,L,2023-06-19,2023-07-06,393.9149,6.3207,7.1107,F2,757.49,0
1102,20230506창하069430B,KCMD,C,2023-05-06,2023-06-30,131.5352,5.7916,6.1621,F3,480.44,0
1105,20230609산천095046A,KCMD,Y,2023-06-09,2023-08-09,402.0609,6.0656,6.826,F3,774.05,0
1116,20230619수성044553C,KCMD,L,2023-06-19,2023-06-26,397.6998,6.3944,6.5672,F1,785.11,0
1120,20230424오포093655A,KCMD,Y,2023-04-24,2023-06-17,321.1032,7.3999,6.0993,F2,686.84,0
1125,20230422산천039902A,KCMD,L,2023-04-22,2023-05-24,319.07,7.1902,5.9279,F2,695.78,0
1129,20230602산천016586A,JJBB,K,2023-06-02,2023-08-14,394.9209,6.2623,6.7708,F3,2102.39,0
1132,20230429수성023888C,KCMD,K,2023-04-29,2023-05-20,317.7165,6.587,5.9301,F3,703.73,0
1134,20230401산천065256A,KCMD,C,2023-04-01,2023-06-23,319.3958,7.6116,5.9205,F3,700.98,0
1136,20230501창하073237A,KCMD,C,2023-05-01,2023-05-13,131.5825,6.7001,6.282,F3,527.77,0
1140,20230510산천024729A,KCMD,K,2023-05-10,2023-06-19,127.9449,5.5438,6.3002,F3,508.97,1
1141,20230520수성074123C,GBMD,C,2023-05-20,2023-09-01,131.5437,6.1741,7.0076,F2,800.52,0
1150,20230401창하010622B,KCMD,K,2023-04-01,2023-04-22,323.0787,7.3004,6.6502,F3,685.11,0
1154,20230411산천090452A,KCMD,Y,2023-04-11,2023-05-19,324.8126,5.5634,6.2258,F2,711.15,1
1155,20230609창하052443A,KCMD,L,2023-06-09,2023-08-17,388.6966,6.32,6.6594,F1,780.73,0
1161,20230518창하045636A,GBMD,L,2023-05-18,2023-08-02,130.6195,6.4215,6.6108,F1,723.77,0
1167,20230421산천012846A,KCMD,K,2023-04-21,2023-10-16,312.7377,5.6788,6.2492,F3,685.23,0
1168,20230513수성019866C,GGMD,K,2023-05-13,2023-07-24,129.4704,5.949,6.224,F3,2440.54,1
1170,20230527창하043180A,GBMD,L,2023-05-27,2023-07-14,130.1552,5.8408,5.9135,F3,719.06,0
1171,20230615창하050526B,KCMD,L,2023-06-15,2023-07-26,398.4392,6.4935,6.6288,F1,750.47,1
1172,20230417오포029412A,KCMD,P,2023-04-17,2023-05-31,325.9399,5.9039,6.1164,F2,689.17,0
1177,20230607오포017570A,KCMD,K,2023-06-07,2023-07-07,390.3806,6.194,6.9609,F3,758.16,0
1184,20230510창하072596A,KCMD,C,2023-05-10,2023-06-16,131.5,6.8618,6.2405,F3,520.69,0
